Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
BHL,2024-06-03,350.3,350.3,335.1,344.7,0.35 %,"6,585.00",333.0693294045905,332.49245997415466,62.86008230452678,True
HYDROPOWER,2024-06-03,2519.31,2533.55,2501.13,2513.94,-0.12 %,"1,131,225,160.60",2461.2292995758376,2458.707819367833,72.08957727577723,True
CGH,2024-06-02,864.0,866.0,845.0,845.0,-2.14 %,"27,909.00",825.5489010043923,825.2762306159278,59.73684210526316,True
USHL,2024-05-29,479.1,505.8,476.0,486.0,-0.31 %,"9,080.00",474.2039882586492,473.789019289013,68.36158192090397,True
UNL,2024-05-29,40138.0,43286.1,40138.0,43286.1,10.00 %,"1,100.00",39877.94562108054,39705.82079476572,72.8516072959042,True
LICN,2024-05-29,1412.7,1412.7,1351.0,1384.9,-0.01 %,"7,394.00",1338.5560934251323,1338.0194762618523,86.80171884591775,True
NRN,2024-05-27,541.0,585.0,541.0,572.8,3.77 %,"355,895.00",524.464990069815,523.6327682231675,80.61377245508983,True
NMB,2024-05-26,207.0,218.0,202.0,211.0,2.93 %,"294,670.00",183.5345622432388,181.8517766070963,91.76954732510283,True
SBI,2024-05-22,298.0,312.0,298.0,309.5,3.17 %,"57,200.00",285.11373734254795,285.04044167012546,72.94685990338164,True
CZBIL,2024-05-22,172.0,183.0,172.0,179.0,2.40 %,"135,262.00",162.85713987781259,161.90831477230415,83.47578347578346,True
BANKING,2024-05-22,1141.44,1199.37,1140.25,1192.73,4.23 %,"1,072,427,189.80",1073.9630344136754,1073.7880014764671,86.30670748677986,True
NEPSE,2024-05-21,2095.57,2118.34,2081.07,2115.94,1.14 %,"5,206,208,111.56",2020.4887203261871,2017.9775044671294,74.45366158237447,True
SPHL,2024-05-21,483.3,503.0,483.3,502.8,5.87 %,"21,779.00",469.07885241971405,468.662316295744,65.20979020979021,True
SBL,2024-05-20,238.6,250.5,237.0,240.5,2.78 %,"140,503.00",225.78505905019333,225.38753973527815,75.0572082379863,True
SANIMA,2024-05-20,248.0,265.1,248.0,256.5,3.39 %,"156,616.00",239.14712572659766,238.82870804159123,80.00000000000003,True
EBL,2024-05-20,527.0,544.0,522.0,532.0,2.90 %,"103,898.00",508.7315143566196,508.115869851615,73.60139860139859,True
RFPL,2024-05-19,364.5,392.7,356.0,392.0,7.10 %,"125,339.00",357.85323519905364,357.3626932901162,65.26162790697673,True
CLI,2024-05-15,471.0,474.0,460.0,462.9,0.11 %,"58,629.00",453.35085981330303,453.14386400810827,68.52713178294572,True
ADBL,2024-05-09,236.8,241.5,233.1,239.0,2.58 %,"37,949.00",233.87988815087203,233.63651963673027,68.24644549763036,True
NUBL,2024-05-05,674.9,690.0,659.9,668.0,0.60 %,"32,699.00",642.6643811806034,641.122115049751,58.92857142857143,True
SADBL,2024-05-02,328.0,328.0,314.2,315.0,-2.17 %,"56,737.00",301.1446562556203,300.96383147751953,58.68983957219252,True
SSIS,2024-04-03,9.03,9.03,9.03,9.03,0.00 %,0.0,8.907778450060754,8.90456457737054,50.0,True
MDB,2024-03-18,417.0,438.6,414.0,435.0,2.62 %,"88,264.00",407.94463604158705,406.95429651848025,78.87139107611551,True
SMATA,2024-03-14,671.9,673.0,652.1,670.0,1.52 %,"3,159.00",617.7312223408339,617.6404769145876,68.33527357392315,True
