Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
MLBSL,2023-07-13,2056.0,2128.0,2056.0,2089.0,1.61 %,1241.0,2002.6019515896442,2000.3099113008195,59.0178835399722,1035.7333333333333,3.411434443167491,1.0885329926958547,True
HHL,2023-07-09,262.8,284.0,256.2,284.0,5.93 %,11007.0,270.0717870699445,269.63189753350287,54.58715596330275,14155.466666666667,0.12906366445934053,0.040253173988458,True
ALBSL,2023-06-25,708.0,753.9,708.0,750.0,4.02 %,786.0,725.0513283073973,724.6524418483933,66.90947359863627,1631.5,1.7004935569255166,0.6085052011605967,True
ILBS,2023-06-20,675.0,680.0,655.0,656.0,-3.52 %,2199.0,643.6914773834878,643.1452076646153,59.66601201886327,1977.5,3.86920570942234,1.3621755434935494,True
NGPL,2023-06-18,271.0,279.5,265.0,276.0,3.37 %,176677.0,256.9459064597112,256.74135399394555,59.119496855345915,72398.83333333333,1.201133079029546,0.3928028619876784,True
MERO,2023-06-18,604.9,618.0,603.0,618.0,4.04 %,12079.0,563.684039621614,561.5046732435711,64.72081218274113,4869.466666666666,4.219254312559019,1.4881017526638742,True
MPFL,2023-06-18,323.0,334.0,316.6,331.0,4.35 %,7170.0,315.3455063350146,315.2230601703071,61.33333378544575,5288.1,1.2019533159342815,0.4057520439181303,True
UPPER,2023-06-15,465.0,480.0,463.0,472.5,2.07 %,126822.0,444.32715013811344,442.69078110643045,58.4320865731017,54057.933333333334,2.0086489703331494,0.7281940013867597,True
DDBL,2023-06-15,727.5,742.0,725.0,740.0,0.14 %,10393.0,695.4546690345347,694.6148272050477,62.01601744512949,6852.5,4.031410007956879,1.35601670246092,True
NRIC,2023-06-15,751.0,766.0,745.0,765.0,0.14 %,60665.0,714.4646151337741,714.262191495702,60.40609137055837,33577.96666666667,4.656288680493731,1.5453217587905328,True
MICROFINANCE,2023-06-14,3760.29,3864.11,3760.29,3825.12,1.73 %,363649060.0,3545.0655262152504,3532.5485611001072,68.97102936091083,122734154.93333334,20.80067677133611,7.312063382224551,True
WNLB,2023-06-14,897.0,930.0,880.0,897.0,1.93 %,730.0,791.2732450921637,787.1109989462872,69.35279487614432,241.8,6.395773764470391,2.2005159068037075,True
GILB,2023-06-14,877.9,927.9,850.1,897.0,3.71 %,10168.0,820.2201277221436,819.8605369774899,66.94579465397725,3766.766666666667,4.5930064008689895,1.487386176492987,True
AHPC,2023-06-14,304.9,308.9,299.0,302.5,1.17 %,166201.0,291.95888595830695,291.3490290644942,52.46132292673547,61633.066666666666,0.9096465416988962,0.3301787593559197,True
ENL,2023-06-14,689.9,697.9,655.0,679.0,-0.80 %,7494.0,640.9394709501204,639.5557698133183,64.23357664233578,1886.1666666666667,3.4548364046239386,1.1882377525157153,True
JFL,2023-06-14,395.0,405.0,376.0,390.0,-0.31 %,14859.0,366.9258553503279,365.64536382813685,67.01570136881679,6492.666666666667,2.359964011199543,0.8338729907966353,True
SHEL,2023-06-14,324.2,324.2,310.1,323.0,1.60 %,10884.0,303.49995573192086,303.2815975921745,64.38747058010341,3684.9333333333334,1.4607238787248775,0.48679021492496305,True
SFCL,2023-06-13,288.0,303.9,288.0,298.9,2.01 %,26358.0,278.61778491158253,278.61435842303035,60.960958575821834,11754.0,1.5124557381145678,0.48625986131140736,True
SIFC,2023-06-13,330.0,339.9,325.0,338.2,2.67 %,16858.0,315.3886658376829,314.44230343495093,62.17799753929675,7627.966666666666,1.177725533391424,0.4022222515525982,True
RLFL,2023-06-13,317.0,337.0,317.0,333.0,3.42 %,44217.0,298.5892722995297,297.3397081080281,69.9074074074074,14530.1,2.334054895528129,0.7993705141673899,True
USLB,2023-06-13,770.0,790.5,770.0,790.5,3.33 %,718.0,742.3584655336754,740.3455115679598,68.70926182486335,297.1,3.2776009121541847,1.1614015426414426,True
MEN,2023-06-13,787.0,838.3,750.2,777.0,-1.27 %,6940.0,756.1929120412215,755.5801424276195,57.803122391992304,2229.9333333333334,1.6242430574780884,0.5514025818185019,True
HIDCL,2023-06-13,196.0,202.0,193.2,201.0,3.61 %,306016.0,188.1451008715305,188.00493888508237,65.14523071156592,80101.26666666666,0.5832065771975123,0.18645943662318132,True
PHCL,2023-06-12,353.0,361.0,350.0,358.0,2.29 %,56929.0,327.9963882624334,326.40587158358323,66.29570905343584,23491.4,1.877338562087425,0.6692813986227406,True
HYDROPOWER,2023-06-12,2530.65,2560.4,2495.78,2519.53,-0.31 %,764385500.0,2418.4458441576267,2417.6281911796364,65.37333726832833,383118131.2,10.586563976571052,3.582396252367289,True
LICN,2023-06-12,1390.0,1423.0,1380.0,1415.0,1.82 %,14463.0,1333.1062290877069,1328.7217723461238,65.75341412041541,6371.033333333334,5.04568072555603,1.801808828521598,True
