Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
KKHC,266.9,208.0,362.0,28.32,-26.27
MLBLPO,201.0,155.0,232.0,29.68,-13.36
CFCL,579.0,445.1,699.0,30.08,-17.17
SMBPO,986.0,750.0,750.0,31.47,31.47
MBLPO,132.0,100.0,132.0,32.0,0.0
CYCL,1609.0,1216.0,1860.0,32.32,-13.49
MFIL,728.9,545.0,938.0,33.74,-22.29
DHEL,555.0,402.2,918.9,37.99,-39.6
SHBL,490.0,352.0,1428.0,39.2,-65.69
NHPC,250.0,178.6,340.0,39.98,-26.47
BHCL,552.8,394.0,699.0,40.3,-20.92
MEGA,219.0,150.0,630.0,46.0,-65.24
CCBL,199.5,136.0,615.0,46.69,-67.56
SWMFPO,382.0,250.0,399.0,52.8,-4.26
SRBL,173.1,112.0,1024.0,54.55,-83.1
SGHL,492.0,299.3,587.0,64.38,-16.18
KAHL,490.8,295.4,613.0,66.15,-19.93
TPKHL,500.1,300.0,772.5,66.7,-35.26
RIDI,343.0,203.5,415.0,68.55,-17.35
CBL,214.0,125.0,369.0,71.2,-42.01
BUNGAL,540.0,302.4,895.0,78.57,-39.66
MABEL,570.3,317.7,927.0,79.51,-38.48
MSLBP,735.0,405.0,735.0,81.48,0.0
PLI,587.0,321.8,914.0,82.41,-35.78
NCCB,189.0,100.0,733.0,89.0,-74.22
AKJCL,338.0,172.9,461.4,95.49,-26.74
YMHL,589.9,300.0,797.6,96.63,-26.04
PCIL,594.1,300.0,1280.0,98.03,-53.59
PROFLP,236.0,118.0,261.0,100.0,-9.58
GRDBLP,570.0,277.0,649.0,105.78,-12.17
SIPD,587.0,284.3,1216.8,106.47,-51.76
SOHL,663.9,300.0,875.5,121.3,-24.17
MEPDL,666.0,300.0,855.0,122.0,-22.11
SINDUP,418.0,188.0,426.0,122.34,-1.88
APHL,672.1,299.7,1053.4,124.26,-36.2
BANDIPUR,653.5,285.0,1233.0,129.3,-47.0
KSBBLP,269.0,110.0,269.0,144.55,0.0
SKHL,751.0,300.0,1360.0,150.33,-44.78
PLIC,340.0,134.0,2900.0,153.73,-88.28
BJHL,686.5,270.1,1305.0,154.17,-47.39
HIMSTAR,655.0,252.2,1264.0,159.71,-48.18
SOPL,729.0,276.5,1217.0,163.65,-40.1
KHPL,803.0,300.0,1324.8,167.67,-39.39
RLEL,853.0,300.0,1592.3,184.33,-46.43
SABBL,870.0,300.0,2000.0,190.0,-56.5
SNORL,889.9,298.7,1017.1,197.92,-12.51
SKHEL,885.0,284.3,2069.4,211.29,-57.23
SAIL,955.0,301.7,1690.0,216.54,-43.49
JHAPA,1001.2,293.4,1929.0,241.24,-48.1
SLICL,387.0,102.0,1408.0,279.41,-72.51
SYPNL,1220.0,319.8,2255.9,281.49,-45.92
NBB,400.0,101.0,1255.0,296.04,-68.13
SAPIL,1212.9,300.0,1054.7,304.3,15.0
GLICL,344.0,84.0,1400.0,309.52,-75.43
SAGAR,1497.0,319.5,2439.0,368.54,-38.62
ECL,1465.0,296.6,1980.0,393.93,-26.01
SWASTIK,1940.0,391.7,3400.0,395.28,-42.94
HFIN,616.0,101.7,1450.6,505.7,-57.53
RRHP,563.9,86.0,739.0,555.7,-23.69
JBLBP,716.0,100.0,716.0,616.0,0.0
RSML,2706.0,300.0,5049.0,802.0,-46.41
RHPC,840.0,69.0,1118.0,1117.39,-24.87
