"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2024-02-20","227","233","226.1","228","-1.30 %","81,286.00"
"MEL","2024-02-18","238.1","242","230","231","-2.98 %","84,375.00"
"MEL","2024-02-15","233.5","245","233.5","238.1","0.25 %","99,332.00"
"MEL","2024-02-14","234","246.9","234","237.5","-0.42 %","63,533.00"
"MEL","2024-02-13","239","247.7","234.3","238.5","-1.81 %","176,137.00"
"MEL","2024-02-12","236.3","245","236.1","242.9","2.79 %","74,376.00"
"MEL","2024-02-11","242.5","247","236.3","236.3","-0.71 %","146,754.00"
"MEL","2024-02-08","233","242.9","226","238","3.57 %","154,308.00"
"MEL","2024-02-07","222.1","232.3","222.1","229.8","3.05 %","54,955.00"
"MEL","2024-02-06","220","229.2","218.2","223","0.22 %","33,751.00"
"MEL","2024-02-05","226.4","226.4","220","222.5","0.23 %","49,186.00"
"MEL","2024-02-04","220","227","220","222","-0.85 %","34,108.00"
"MEL","2024-02-01","230","232","223.2","223.9","-3.07 %","75,948.00"
"MEL","2024-01-31","236.5","241.5","229.5","231","-3.14 %","64,527.00"
"MEL","2024-01-30","230","239.7","230","238.5","4.61 %","99,084.00"
"MEL","2024-01-29","234","238","228","228","-0.87 %","73,028.00"
"MEL","2024-01-28","229","234","226.1","230","1.68 %","48,830.00"
"MEL","2024-01-25","225","234.5","225","226.2","-0.92 %","52,092.00"
"MEL","2024-01-24","229.3","239","228","228.3","-2.39 %","69,439.00"
"MEL","2024-01-23","229.1","239.9","229.1","233.9","0.39 %","64,694.00"
"MEL","2024-01-22","235","247.7","231","233","-2.47 %","106,746.00"
"MEL","2024-01-21","242","254.8","238.2","238.9","-1.28 %","191,038.00"
"MEL","2024-01-18","223","249.1","220","242","6.65 %","231,430.00"
"MEL","2024-01-17","248.3","248.3","226.5","226.9","-6.82 %","226,218.00"
"MEL","2024-01-16","243","260.1","238","243.5","1.88 %","204,019.00"
"MEL","2024-01-14","243","250.9","237","239","-1.24 %","163,087.00"
"MEL","2024-01-11","235","246.9","229","242","4.31 %","193,739.00"
"MEL","2024-01-10","237","244","228.1","232","-1.69 %","160,810.00"
"MEL","2024-01-09","237.8","254","228","236","1.20 %","334,224.00"
"MEL","2024-01-08","212","233.2","211","233.2","10.00 %","290,067.00"
"MEL","2024-01-07","207","218.2","200","212","4.43 %","221,098.00"
"MEL","2024-01-04","202","209.1","200.6","203","0.50 %","105,154.00"
"MEL","2024-01-03","190","205","190","202","5.21 %","79,414.00"
"MEL","2024-01-02","200","200","190.2","192","-2.54 %","53,823.00"
"MEL","2024-01-01","202.2","207","196","197","-2.57 %","77,379.00"
"MEL","2023-12-28","196","210","196","202.2","1.61 %","76,068.00"
"MEL","2023-12-27","205","210","196.5","199","-2.45 %","107,868.00"
"MEL","2023-12-24","200","212","199.1","204","0.00 %","115,113.00"
"MEL","2023-12-21","216.2","216.2","202","204","-3.77 %","102,576.00"
"MEL","2023-12-20","204.5","218","204.5","212","2.81 %","160,725.00"
"MEL","2023-12-19","198.2","210","198.2","206.2","1.98 %","98,865.00"
"MEL","2023-12-18","213.1","216.2","200","202.2","-4.62 %","146,485.00"
"MEL","2023-12-17","194","213.1","186.5","212","7.12 %","144,136.00"
"MEL","2023-12-14","194","201.2","185.5","197.9","3.34 %","86,893.00"
"MEL","2023-12-13","201","202.9","187","191.5","-3.28 %","92,825.00"
"MEL","2023-12-12","180","200","178.5","198","8.79 %","134,953.00"
"MEL","2023-12-11","190","191.7","176","182","-3.19 %","107,894.00"
"MEL","2023-12-10","177","190","177","188","8.05 %","13,646.00"
"MEL","2023-12-07","169.3","174.1","163","174","4.82 %","53,440.00"
"MEL","2023-12-06","160.8","167","160.8","166","1.22 %","10,650.00"
"MEL","2023-12-05","169.3","169.3","161.9","164","-1.20 %","15,325.00"
"MEL","2023-12-04","161.6","168.5","161.6","166","0.73 %","25,520.00"
"MEL","2023-12-03","163","164.8","160.1","164.8","-0.72 %","10,065.00"
"MEL","2023-11-30","163","167.2","160.2","166","0.00 %","18,671.00"
"MEL","2023-11-29","168","174.4","163.1","166","-1.19 %","24,342.00"
"MEL","2023-11-28","166","170","163.3","168","0.90 %","20,036.00"
"MEL","2023-11-27","169","177","165.1","166.5","-1.42 %","27,810.00"
"MEL","2023-11-26","156.8","170","156.8","168.9","5.63 %","35,639.00"
"MEL","2023-11-23","158","160","153","159.9","1.20 %","12,918.00"
"MEL","2023-11-22","150","158","149","158","4.29 %","10,768.00"
"MEL","2023-11-21","152.2","154","149.6","151.5","-2.01 %","13,983.00"
"MEL","2023-11-20","156","160.5","153","154.6","-0.90 %","16,820.00"
"MEL","2023-11-09","157.3","160","155.4","156","-2.62 %","10,135.00"
"MEL","2023-11-08","156","161","156","160.2","0.75 %","7,265.00"
"MEL","2023-11-07","152.3","162.2","152.3","159","2.58 %","17,827.00"
"MEL","2023-11-06","150","157","150","155","1.31 %","12,755.00"
"MEL","2023-11-05","156","157","152","153","-2.55 %","22,041.00"
"MEL","2023-11-02","161","163","156.7","157","-2.00 %","16,831.00"
"MEL","2023-11-01","164","164","158.5","160.2","-1.66 %","24,687.00"
"MEL","2023-10-31","161","164","160.4","162.9","0.56 %","8,336.00"
"MEL","2023-10-30","160.4","165","160.4","162","-0.61 %","23,152.00"
"MEL","2023-10-29","164.7","169.5","162","163","-2.92 %","16,730.00"
"MEL","2023-10-19","166.1","170","163.7","167.9","-0.65 %","16,169.00"
"MEL","2023-10-18","165.1","170.9","165.1","169","1.26 %","15,002.00"
"MEL","2023-10-17","163","173.3","163","166.9","1.15 %","17,010.00"
"MEL","2023-10-16","166.3","168","163.1","165","-2.65 %","24,347.00"
"MEL","2023-10-12","169","173.4","167","169.5","-0.29 %","29,833.00"
"MEL","2023-10-11","166.7","174.4","166.7","170","1.01 %","24,426.00"
"MEL","2023-10-10","170.7","179.9","167.4","168.3","-3.33 %","22,985.00"
"MEL","2023-10-09","172","175","168.9","174.1","0.93 %","19,490.00"
"MEL","2023-10-08","176","178","171.1","172.5","-3.63 %","31,350.00"
"MEL","2023-10-05","177","182","175.4","179","-0.56 %","20,970.00"
"MEL","2023-10-04","175","186.5","175","180","1.41 %","20,286.00"
"MEL","2023-10-03","178.1","180.1","175","177.5","-2.31 %","19,636.00"
"MEL","2023-10-02","175","187","170.6","181.7","2.66 %","34,890.00"
"MEL","2023-10-01","189","189","171.5","177","-5.85 %","58,511.00"
"MEL","2023-09-27","194.1","194.1","181.5","188","-1.88 %","64,132.00"
"MEL","2023-09-26","181.1","195","181.1","191.6","5.80 %","62,508.00"
"MEL","2023-09-25","181","189","178","181.1","-1.58 %","30,282.00"
"MEL","2023-09-24","188","191","180","184","-2.13 %","58,233.00"
"MEL","2023-09-21","179.5","192.8","178.5","188","4.74 %","86,981.00"
"MEL","2023-09-19","170.3","179.5","165.1","179.5","7.49 %","34,798.00"
"MEL","2023-09-18","164","169.9","161.3","167","0.00 %","14,326.00"
"MEL","2023-09-17","175","175","165","167","-4.57 %","26,541.00"
"MEL","2023-09-13","163.1","175.4","163.1","175","5.29 %","26,141.00"
"MEL","2023-09-12","172","172","166.2","166.2","-3.32 %","17,835.00"
"MEL","2023-09-11","161","175","161","171.9","4.82 %","30,653.00"
"MEL","2023-09-10","160","171","159.3","164","1.05 %","21,435.00"
"MEL","2023-09-07","159","162.3","159","162.3","0.74 %","17,335.00"
"MEL","2023-09-05","164.5","165","160","161.1","-1.89 %","8,592.00"
"MEL","2023-09-04","159","165","157","164.2","2.63 %","13,404.00"
"MEL","2023-09-03","163","163","159","160","-2.62 %","26,024.00"
"MEL","2023-08-30","163","169","163","164.3","-1.02 %","14,058.00"
"MEL","2023-08-29","164.2","168","163","166","0.30 %","10,508.00"
"MEL","2023-08-28","163","170","163","165.5","0.85 %","16,631.00"
"MEL","2023-08-27","174","174","163.1","164.1","-4.04 %","29,768.00"
"MEL","2023-08-24","180","182","170.6","171","-6.04 %","34,492.00"
"MEL","2023-08-23","176.7","183.6","172.5","182","2.08 %","31,189.00"
"MEL","2023-08-22","162","179","162","178.3","8.00 %","24,115.00"
"MEL","2023-08-21","173","173","156.4","165.1","-4.90 %","58,531.00"
"MEL","2023-08-20","180","187","173.6","173.6","-3.56 %","21,024.00"
"MEL","2023-08-17","182","184.9","179","180","0.45 %","22,438.00"
"MEL","2023-08-16","182.6","185","179","179.2","-2.29 %","22,557.00"
"MEL","2023-08-15","190","190","183","183.4","-3.73 %","44,990.00"
"MEL","2023-08-14","192","195.9","190","190.5","-0.83 %","30,083.00"
"MEL","2023-08-13","196","196","191.2","192.1","-3.47 %","37,934.00"
"MEL","2023-08-10","196.5","204","195.4","199","-0.55 %","42,298.00"
"MEL","2023-08-09","191.1","201","189","200.1","3.14 %","43,607.00"
"MEL","2023-08-08","200","202","193.2","194","-3.00 %","38,481.00"
"MEL","2023-08-07","202","205.9","198.3","200","-0.99 %","51,751.00"
"MEL","2023-08-06","202.9","214","200.2","202","-2.42 %","41,679.00"
"MEL","2023-08-03","209.5","211.3","206","207","-0.48 %","41,739.00"
"MEL","2023-08-02","205.6","211.1","205.6","208","0.87 %","28,714.00"
"MEL","2023-08-01","208.1","216","206.2","206.2","-1.58 %","42,913.00"
"MEL","2023-07-31","210","218.9","207.5","209.5","-0.66 %","55,013.00"
"MEL","2023-07-30","213.7","222","210","210.9","-3.26 %","37,013.00"
"MEL","2023-07-27","222","225","215.1","218","-1.80 %","52,702.00"
"MEL","2023-07-26","230","230.1","220","222","-3.48 %","63,411.00"
"MEL","2023-07-25","224.4","235","222","230","2.22 %","68,437.00"
"MEL","2023-07-24","217","235.5","217","225","2.27 %","117,096.00"
"MEL","2023-07-23","215","224","215","220","1.38 %","76,728.00"
"MEL","2023-07-20","205.3","228.8","205.3","217","4.33 %","87,926.00"
"MEL","2023-07-19","211","212","207.4","208","-1.56 %","38,450.00"
"MEL","2023-07-18","211.5","214","211.2","211.3","-0.09 %","41,978.00"
"MEL","2023-07-17","206","214","204.1","211.5","1.93 %","49,975.00"
"MEL","2023-07-16","212","212.7","205","207.5","-0.53 %","44,573.00"
"MEL","2023-07-13","217","223.5","207.6","208.6","-4.97 %","76,665.00"
"MEL","2023-07-12","206.9","220","202.8","219.5","6.50 %","77,758.00"
"MEL","2023-07-11","209","210.4","205","206.1","-1.43 %","46,920.00"
"MEL","2023-07-10","218.1","218.1","208","209.1","-4.13 %","82,952.00"
"MEL","2023-07-09","214.4","226","197.9","218.1","-0.27 %","263,768.00"
"MEL","2023-07-06","238.2","238.2","218.7","218.7","-10.00 %","26,946.00"
"MEL","2023-07-05","270","275.4","243","243","0.00 %","69,350.00"
